user_id,signup_date,group,activated,weekly_usage,retained_4w,paid,revenue,,,,,,
0,00:08.6,control,0,0,1,0,0,,,,,,
1,00:08.6,control,0,1,0,0,0,,,,,,
2,00:08.6,control,1,4,0,0,0,,,,,,
3,00:08.6,control,0,0,0,0,0,,,,,,
4,00:08.6,control,1,7,0,0,0,,,,,,
5,00:08.6,control,0,1,0,0,0,,,,,,
6,00:08.6,treatment,0,2,1,0,0,,,,,,
7,00:08.6,control,1,7,0,0,0,,,,,,
8,00:08.6,control,0,2,0,0,0,,,,,,
9,00:08.6,treatment,1,2,0,0,0,,,,,,
10,00:08.6,control,1,3,0,0,0,,,,,,
11,00:08.6,treatment,1,9,1,0,0,,,,,,
12,00:08.6,control,0,0,1,0,0,,,,,,
13,00:08.6,treatment,0,1,0,0,0,,,,,,
14,00:08.6,treatment,0,2,0,0,0,,,,,,
15,00:08.6,control,0,1,0,0,0,,,,,,
16,00:08.6,treatment,0,0,0,0,0,,,,,,
17,00:08.6,control,0,1,0,0,0,,,,,,
18,00:08.6,control,0,3,0,0,0,,,,,,
19,00:08.6,control,1,9,1,0,0,,,,,,
20,00:08.6,control,0,2,0,0,0,,,,,,
21,00:08.6,treatment,1,3,0,1,13.66091675,,,,,,
22,00:08.6,control,1,4,1,0,0,,,,,,
23,00:08.6,treatment,0,2,0,0,0,,,,,,
24,00:08.6,treatment,0,0,0,0,0,,,,,,
25,00:08.6,control,1,7,0,0,0,,,,,,
26,00:08.6,control,1,2,0,1,9.604887708,,,,,,
27,00:08.6,control,0,2,1,0,0,,,,,,
28,00:08.6,control,0,0,0,0,0,,,,,,
29,00:08.6,treatment,0,2,0,0,0,,,,,,
30,00:08.6,control,0,0,1,1,6.99057404,,,,,,
31,00:08.6,treatment,0,0,0,0,0,,,,,,
32,00:08.6,control,1,8,1,0,0,,,,,,
33,00:08.6,control,0,3,1,0,0,,,,,,
34,00:08.6,control,1,1,1,0,0,,,,,,
35,00:08.6,control,1,4,1,1,10.90625724,,,,,,
36,00:08.6,treatment,1,6,1,0,0,,,,,,
37,00:08.6,treatment,0,0,0,0,0,,,,,,
38,00:08.6,control,0,2,1,0,0,,,,,,
39,00:08.6,treatment,1,1,0,0,0,,,,,,
40,00:08.6,treatment,1,7,1,1,11.24691319,,,,,,
41,00:08.6,control,1,2,0,0,0,,,,,,
42,00:08.6,control,1,9,1,0,0,,,,,,
43,00:08.6,treatment,0,0,0,0,0,,,,,,
44,00:08.6,treatment,0,0,1,1,9.179062662,,,,,,
45,00:08.6,treatment,1,10,0,0,0,,,,,,
46,00:08.6,treatment,0,1,1,0,0,,,,,,
47,00:08.6,control,1,5,1,1,8.988123452,,,,,,
48,00:08.6,control,0,1,1,0,0,,,,,,
49,00:08.6,treatment,1,11,0,0,0,,,,,,
50,00:08.6,control,1,4,0,0,0,,,,,,
51,00:08.6,treatment,0,0,0,0,0,,,,,,
52,00:08.6,treatment,0,1,0,0,0,,,,,,
53,00:08.6,control,1,7,0,0,0,,,,,,
54,00:08.6,treatment,1,5,0,1,12.95196323,,,,,,
55,00:08.6,treatment,0,0,0,0,0,,,,,,
56,00:08.6,control,1,5,0,0,0,,,,,,
57,00:08.6,control,0,1,0,0,0,,,,,,
58,00:08.6,treatment,0,0,1,0,0,,,,,,
